" " = 0.11945392491467577
"О" = 0.11035267349260523
"Е" = 0.07849829351535836
"И" = 0.07736063708759955
"Т" = 0.06484641638225255
"Н" = 0.05688282138794084
"А" = 0.04550625711035267
"С" = 0.04323094425483504
"Л" = 0.04323094425483504
"Р" = 0.03754266211604096
"М" = 0.03640500568828214
"В" = 0.03185437997724687
"У" = 0.02502844141069397
"Д" = 0.023890784982935155
"П" = 0.023890784982935155
"К" = 0.023890784982935155
"Я" = 0.020477815699658702
"Ы" = 0.019340159271899887
"Ч" = 0.01820250284414107
"Ж" = 0.012514220705346985
"Б" = 0.012514220705346985
"З" = 0.012514220705346985
"Ь" = 0.011376564277588168
"Г" = 0.011376564277588168
"Ц" = 0.009101251422070534
"Х" = 0.007963594994311717
"Ю" = 0.006825938566552901
"Й" = 0.004550625711035267
"Ш" = 0.0034129692832764505
"Э" = 0.0034129692832764505
"Щ" = 0.0022753128555176336
"Ф" = 0.0022753128555176336
